,0,1,2,3,4,5,6,7,8,9
0,,４月２７日（月）,対前日比,人口一万人当たり,うち現在は入院等,,うち退院,,うち死亡,
1,埼玉県,823,17,1.120,765,93.0%,42,5.1%,16,1.9%
2,千葉県,793,7,1.270,672,84.7%,98,12.4%,23,2.9%
3,東京都,3961,39,2.850,3883,98.0%,59,1.5%,19,0.5%
4,神奈川県,965,7,1.050,816,84.6%,122,12.6%,27,2.8%
5,大阪府,1523,30,1.730,1231,80.8%,260,17.1%,32,2.1%
6,兵庫県,629,1,1.150,527,83.8%,85,13.5%,17,2.7%
7,福岡県,615,9,1.200,438,71.2%,161,26.2%,16,2.6%
8,,,,0,,,,,,
9,北海道,650,35,1.240,422,64.9%,202,31.1%,26,4.0%
10,茨城県,161,0,0.560,124,77.0%,31,19.3%,6,3.7%
11,石川県,236,7,2.070,215,91.1%,16,6.8%,5,2.1%
12,岐阜県,146,0,0.730,82,56.2%,57,39.0%,7,4.8%
13,愛知県,477,0,0.630,381,79.9%,66,13.8%,30,6.3%
14,京都府,309,15,1.200,161,52.1%,140,45.3%,8,2.6%
15,,,,,,0,,,,
16,青森県,23,1,0.180,9,39.1%,14,60.9%,0,0.0%
17,岩手県,0,0,0.000,0,-,0,,0,-
18,宮城県,86,1,0.370,54,62.8%,32,37.2%,0,0.0%
19,秋田県,16,0,0.170,9,56.3%,7,43.8%,0,0.0%
20,山形県,66,0,0.610,28,42.4%,38,57.6%,0,0.0%
21,福島県,69,0,0.370,50,72.5%,19,27.5%,0,0.0%
22,栃木県,54,0,0.280,41,75.9%,13,24.1%,0,0.0%
23,群馬県,146,5,0.750,122,83.6%,15,10.3%,9,6.2%
24,新潟県,69,0,0.310,37,53.6%,32,46.4%,0,0.0%
25,富山県,181,4,1.730,169,93.4%,9,5.0%,3,1.7%
26,福井県,121,0,1.580,52,43.0%,63,52.1%,6,5.0%
27,山梨県,51,0,0.630,29,56.9%,22,43.1%,0,0.0%
28,長野県,66,0,0.320,49,74.2%,17,25.8%,0,0.0%
29,静岡県,64,1,0.180,51,79.7%,13,20.3%,0,0.0%
30,三重県,45,0,0.250,28,62.2%,16,35.6%,1,2.2%
31,滋賀県,94,0,0.660,71,75.5%,22,23.4%,1,1.1%
32,奈良県,78,2,0.590,63,80.8%,14,17.9%,1,1.3%
33,和歌山県,59,1,0.640,31,52.5%,27,45.8%,1,1.7%
34,鳥取県,3,0,0.050,2,66.7%,1,33.3%,0,0.0%
35,島根県,22,0,0.330,20,90.9%,2,9.1%,0,0.0%
36,岡山県,22,0,0.120,17,77.3%,5,22.7%,0,0.0%
37,広島県,145,0,0.520,128,88.3%,16,11.0%,1,0.7%
38,山口県,32,1,0.240,14,43.8%,18,56.3%,0,0.0%
39,徳島県,5,0,0.070,2,40.0%,3,60.0%,0,0.0%
40,香川県,28,0,0.290,23,82.1%,5,17.9%,0,0.0%
41,愛媛県,47,0,0.350,20,42.6%,24,51.1%,3,6.4%
42,高知県,73,0,1.050,43,58.9%,28,38.4%,2,2.7%
43,佐賀県,36,0,0.440,30,83.3%,6,16.7%,0,0.0%
44,長崎県,16,0,0.120,7,43.8%,8,50.0%,1,6.3%
45,熊本県,45,0,0.260,32,71.1%,12,26.7%,1,2.2%
46,大分県,60,0,0.530,32,53.3%,27,45.0%,1,1.7%
47,宮崎県,17,0,0.160,8,47.1%,9,52.9%,0,0.0%
48,鹿児島県,10,0,0.060,6,60.0%,4,40.0%,0,0.0%
49,沖縄県,137,0,0.940,110,80.3%,23,16.8%,4,2.9%
50,その他,148,0,-,148,100.0%,0,0.0%,0,0.0%
51,,,,,,,,,,
52,"183
総計
13422
1.060
11252
83.8%
1903
14.2%
267
2.0%",,,,,,,,,
