,0,1,2,3,4
0,,都道府県名 陽性者数 検査人数,,％,備考
1,滋賀県,26,453,5.7%,
2,京都府,159,1867,8.5%,
3,大阪府,589,1792,,32.9% ※1 4/8時点
4,兵庫県,273,3496,7.8%,
5,奈良県,34,509,6.7%,
6,和歌山県,32,1756,,1.8% 4/8時点
7,鳥取県,0,277,0.0%,
8,島根県,1,191,0.5%,
9,岡山県,16,564,2.8%,
10,広島県,25,1638,1.5%,
11,山口県,17,528,3.2%,
12,徳島県,3,217,1.4%,
13,香川県,3,441,0.7%,
14,愛媛県,26,485,5.4%,
15,高知県,47,709,6.6%,
16,福岡県,187,3873,4.8%,
17,佐賀県,11,334,3.3%,
18,長崎県,14,880,1.6%,
19,熊本県,23,1639,1.4%,
20,大分県,41,2035,2.0%,
21,宮崎県,16,545,2.9%,
22,鹿児島県,3,483,0.6%,
23,沖縄県,42,619,6.8%,
24,合計,"5,246","57,125",9.2%,
