,0,1,2,3
0,都道府県名,陽性者数 検査人数,,％
1,"北海道
※3",434,"3,987",10.9%
2,青森,22,494,4.5%
3,"岩手
※3",0,234,0.0%
4,宮城,83,"1,203",6.9%
5,秋田,16,706,2.3%
6,山形,61,"1,415",4.3%
7,"福島
※3",62,"1,075",5.8%
8,茨城,139,"3,159",4.4%
9,栃木,46,"1,330",3.5%
10,群馬,122,"1,973",6.2%
11,"埼玉
※3",642,"4,618",13.9%
12,"千葉
※1
(3/21～）","661 
(616)","3,411",18.1%
13,"東京
※2","3,095","7,726",40.1%
14,"神奈川
※1
(3/23～）","784 
(714)","3,912",18.3%
15,新潟,56,"2,024",2.8%
16,富山,92,"1,274",7.2%
17,石川,178,977,18.2%
18,福井,112,955,11.7%
19,山梨,49,"1,435",3.4%
20,長野,52,"1,273",4.1%
21,岐阜,139,"1,892",7.3%
22,"静岡
※3",52,"2,040",2.5%
23,"愛知
※3",401,"5,175",7.7%
24,三重,36,"1,144",3.1%
