,0,1,2,3
,都道府県名,陽性者数,検査人数,%
,北海道 ,1803,45519,4.0
,青 森 ,35,2087,1.7
,岩手 ,22,3281,0.7
,宮城 ,214,8023,2.7
,秋 田 ,50,1808,2.8
,山形 ,78,3122,2.5
,福島 ,172,15380,1.1
,茨城 ,559,10980,5.1
,栃木 ,307,23048,1.3
,群馬 ,463,15070,3.1
,埼玉 ,4055,112930,3.6
,千葉 ,3125,57427,5.4
,東京 ,21339,339844,6.3
,神奈川 ,5177,120358,4.3
,新潟 ,145,12999,1.1
,富山 ,400,9802,4.1
,石川 ,677,8928,7.6
,福井 ,238,8457,2.8
,山梨 ,173,9651,1.8
,長野 ,280,15156,1.8
,岐阜 ,563,18548,3.0
,静岡 ,485,26523,1.8
,愛知 ,4586,56018,8.2
,三重 ,383,10081,3.8
,滋賀 ,458,9475,4.8
,京都 ,1493,32485,4.6
,大阪 ,8826,140261,6.3
,兵庫 ,2308,45700,5.1
,奈良 ,526,15262,3.4
,和歌山 ,231,8699,2.7
,鳥取 ,22,4574,0.5
,島根 ,137,4936,2.8
,岡山 ,146,7049,2.1
,広島 ,459,18083,2.5
,山口 ,178,7077,2.5
,徳島 ,141,6107,2.3
,香川 ,82,8521,1.0
,愛媛 ,114,3847,3.0
,高知 ,130,3159,4.1
,福岡 ,4685,41767,11.2
,佐賀 ,239,5212,4.6
,長崎 ,234,15149,1.5
,熊本 ,534,11756,4.5
,大分 ,151,13012,1.2
,宮崎 ,338,8147,4.1
,鹿児島 ,368,16129,2.3
,沖縄 ,2172,25883,8.4
,(その他)※3 ,149,0,-
,合計 ,69450,1387330,5.0
