,pref,area
0,北海道,"78,421.34"
1,岩手県,"15,275.01"
2,福島県,"13,783.90"
3,長野県,"13,561.56"
4,新潟県,"12,584.24"
5,秋田県,"11,637.52"
6,岐阜県,"10,621.29"
7,青森県,"9,645.64"
8,山形県,"9,323.15"
9,鹿児島県,"9,187.08"
10,広島県,"8,479.64"
11,兵庫県,"8,400.94"
12,静岡県,"7,777.35"
13,宮崎県,"7,735.33"
14,熊本県,"7,409.45"
15,宮城県,"7,282.29"
16,岡山県,"7,114.33"
17,高知県,"7,103.64"
18,島根県,"6,708.27"
19,栃木県,"6,408.09"
20,群馬県,"6,362.28"
21,大分県,"6,340.76"
22,山口県,"6,112.53"
23,茨城県,"6,097.39"
24,三重県,"5,774.45"
25,愛媛県,"5,676.16"
26,愛知県,"5,173.06"
27,千葉県,"5,157.60"
28,福岡県,"4,986.51"
29,和歌山県,"4,724.65"
30,京都府,"4,612.20"
31,山梨県,"4,465.27"
32,富山県,"4,247.59"
33,福井県,"4,190.52"
34,石川県,"4,186.05"
35,徳島県,"4,146.75"
36,長崎県,"4,131.00"
37,滋賀県,"4,017.38"
38,埼玉県,"3,797.75"
39,奈良県,"3,690.94"
40,鳥取県,"3,507.14"
41,佐賀県,"2,440.70"
42,神奈川県,"2,416.30"
43,沖縄県,"2,281.00"
44,東京都,"2,194.07"
45,大阪府,"1,905.29"
46,香川県,"1,876.79"
