,pref,popDensity
0,東京都,"6,354.79"
1,大阪府,"4,631.03"
2,神奈川県,"3,807.54"
3,埼玉県,"1,932.02"
4,愛知県,"1,460.04"
5,千葉県,"1,217.43"
6,福岡県,"1,024.79"
7,兵庫県,650.36
8,沖縄県,637.52
9,京都府,560.07
10,香川県,509.42
11,茨城県,470.37
12,静岡県,467.93
13,奈良県,360.7
14,滋賀県,351.96
15,佐賀県,333.6
16,広島県,331.14
17,長崎県,320.8
18,宮城県,316.27
19,三重県,308.21
20,群馬県,304.55
21,栃木県,303.1
22,石川県,271.66
23,岡山県,265.85
24,富山県,245.55
25,愛媛県,235.87
26,熊本県,235.74
27,山口県,221.76
28,和歌山県,195.51
29,岐阜県,187.26
30,福井県,183.21
31,山梨県,181.86
32,大分県,178.91
33,新潟県,176.57
34,徳島県,175.71
35,鹿児島県,174.16
36,鳥取県,158.44
37,長野県,151.09
38,宮崎県,138.59
39,福島県,134.07
40,青森県,129.19
41,山形県,115.53
42,島根県,100.46
43,高知県,98.21
44,秋田県,83
45,岩手県,80.29
46,北海道,66.93
