,pref,population
0,東京都,"13,971,109"
1,神奈川県,"9,214,151"
2,大阪府,"8,817,372"
3,愛知県,"7,541,123"
4,埼玉県,"7,343,453"
5,千葉県,"6,281,394"
6,兵庫県,"5,438,891"
7,北海道,"5,212,462"
8,福岡県,"5,106,774"
9,静岡県,"3,618,972"
10,茨城県,"2,854,131"
11,広島県,"2,794,862"
12,京都府,"2,568,427"
13,宮城県,"2,292,690"
14,新潟県,"2,199,746"
15,長野県,"2,034,145"
16,岐阜県,"1,974,142"
17,栃木県,"1,932,091"
18,群馬県,"1,926,370"
19,岡山県,"1,882,356"
20,福島県,"1,830,114"
21,三重県,"1,767,615"
22,熊本県,"1,735,901"
23,鹿児島県,"1,587,342"
24,沖縄県,"1,458,839"
25,滋賀県,"1,412,415"
26,山口県,"1,341,506"
27,愛媛県,"1,326,487"
28,奈良県,"1,322,970"
29,長崎県,"1,310,660"
30,青森県,"1,230,535"
31,岩手県,"1,212,201"
32,石川県,"1,130,159"
33,大分県,"1,124,983"
34,山形県,"1,064,954"
35,宮崎県,"1,063,759"
36,富山県,"1,034,670"
37,秋田県,"952,069"
38,香川県,"948,801"
39,和歌山県,"914,055"
40,佐賀県,"808,821"
41,山梨県,"806,210"
42,福井県,"762,679"
43,徳島県,"721,269"
44,高知県,"689,785"
45,島根県,"666,941"
46,鳥取県,"551,402"
