,0,1,2,3
0,都道府県名,陽性者数 検査人数※３,,％
1,北海道,"1,326","24,768",5.4%
2,"青森
※３",30,"1,201",2.5%
3,"岩手
※３※６",0,"1,224",0.0%
4,"宮城
※３",129,"5,001",2.6%
5,秋田,16,"1,032",1.6%
6,山形,75,"2,803",2.7%
7,"福島
※３",84,"8,456",1.0%
8,茨城,220,"6,066",3.6%
9,"栃木
※３",118,"10,552",1.1%
10,"群馬
※３※６",167,"6,701",2.5%
11,埼玉,"1,668","50,480",3.3%
12,千葉,"1,276","23,084",5.5%
13,"東京
※１※３","9,223","137,338",6.7%
14,神奈川,"1,968","15,233",12.9%
15,"新潟
※３",89,"5,578",1.6%
16,"富山
※６",231,"4,533",5.1%
17,"石川
※３",303,"3,002",10.1%
18,"福井
※３",126,"3,897",3.2%
19,"山梨
※３",77,"6,427",1.2%
20,"長野
※３※６",84,"5,055",1.7%
21,"岐阜
※６",173,"6,721",2.6%
22,"静岡
※３、５",104,"9,608",1.1%
23,愛知,588,"15,158",3.9%
24,"三重
※３",55,"3,236",1.7%
