pref,popDensity,area,population
東京都,6354.79,2194.07,13942856
大阪府,4631.03,1905.29,8823453
神奈川県,3807.54,2416.3,9200166
埼玉県,1932.02,3797.75,7337330
愛知県,1460.04,5173.06,7552873
千葉県,1217.43,5157.6,6279026
福岡県,1024.79,4986.51,5110113
兵庫県,650.36,8400.94,5463609
沖縄県,637.52,2281.0,1454184
京都府,560.07,4612.2,2583140
香川県,509.42,1876.79,956069
茨城県,470.37,6097.39,2868041
静岡県,467.93,7777.35,3639226
奈良県,360.7,3690.94,1331330
滋賀県,351.96,4017.38,1413959
佐賀県,333.6,2440.7,814211
広島県,331.14,8479.64,2807987
長崎県,320.8,4131.0,1325205
宮城県,316.27,7282.29,2303160
三重県,308.21,5774.45,1779770
群馬県,304.55,6362.28,1937626
栃木県,303.1,6408.09,1942312
石川県,271.66,4186.05,1137181
岡山県,265.85,7114.33,1891346
富山県,245.55,4247.59,1042998
愛媛県,235.87,5676.16,1338811
熊本県,235.74,7409.45,1746740
山口県,221.76,6112.53,1355495
和歌山県,195.51,4724.65,923721
岐阜県,187.26,10621.29,1988931
福井県,183.21,4190.52,767742
山梨県,181.86,4465.27,812056
大分県,178.91,6340.76,1134431
新潟県,176.57,12584.24,2222004
徳島県,175.71,4146.75,728633
鹿児島県,174.16,9187.08,1599984
鳥取県,158.44,3507.14,555663
長野県,151.09,13561.56,2049023
宮崎県,138.59,7735.33,1072077
福島県,134.07,13783.9,1847950
青森県,129.19,9645.64,1246138
山形県,115.53,9323.15,1077057
島根県,100.46,6708.27,673891
高知県,98.21,7103.64,697674
秋田県,83.0,11637.52,965968
岩手県,80.29,15275.01,1226430
北海道,66.93,78421.34,5248552
