pref,population,area,popDensity
東京都,13971109,2194.07,6367.67
神奈川県,9214151,2416.32,3813.3
大阪府,8817372,1905.32,4627.76
愛知県,7541123,5173.07,1457.77
埼玉県,7343453,3797.75,1933.63
千葉県,6281394,5157.6,1217.89
兵庫県,5438891,8401.02,647.41
北海道,5212462,78421.4,66.47
福岡県,5106774,4986.51,1024.12
静岡県,3618972,7777.35,465.32
茨城県,2854131,6097.39,468.09
広島県,2794862,8479.64,329.6
京都府,2568427,4612.2,556.88
宮城県,2292690,7282.29,314.83
新潟県,2199746,12584.27,174.8
長野県,2034145,13561.56,149.99
岐阜県,1974142,10621.29,185.87
栃木県,1932091,6408.09,301.51
群馬県,1926370,6362.28,302.78
岡山県,1882356,7114.33,264.59
福島県,1830114,13783.9,132.77
三重県,1767615,5774.49,306.11
熊本県,1735901,7409.46,234.28
鹿児島県,1587342,9187.06,172.78
沖縄県,1458839,2282.59,639.12
滋賀県,1412415,4017.38,351.58
山口県,1341506,6112.54,219.47
愛媛県,1326487,5676.23,233.69
奈良県,1322970,3690.94,358.44
長崎県,1310660,4130.98,317.28
青森県,1230535,9645.64,127.57
岩手県,1212201,15275.01,79.36
石川県,1130159,4186.2,269.97
大分県,1124983,6340.76,177.42
山形県,1064954,9323.15,114.23
宮崎県,1063759,7735.34,137.52
富山県,1034670,4247.58,243.59
秋田県,952069,11637.52,81.81
香川県,948801,1876.78,505.55
和歌山県,914055,4724.65,193.47
佐賀県,808821,2440.69,331.39
山梨県,806210,4465.27,180.55
福井県,762679,4190.52,182.0
徳島県,721269,4146.75,173.94
高知県,689785,7103.64,97.1
島根県,666941,6707.89,99.43
鳥取県,551402,3507.14,157.22
