,date,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県,⾧崎県,⾧野県,⻑崎県,⻑崎船その他県,⻘森県,⻑野県,⻑崎船その他その他県,(その他)県,岩手県　,福島県　,埼玉県　,千葉県　,東京都　,大阪府　,広島県　,香川県　,合計　県,愛知県　
188,2020-03-07,1.0,7.0,26.0,7.0,2.0,12.0,,,,,1.0,,,1.0,9.0,3.0,,,5.0,1.0,1.0,,3.0,,,,1.0,1.0,,,,2.0,,4.0,16.0,55.0,31.0,5.0,,4.0,,1.0,2.0,2.0,1.0,61.0,1.0,,,,,,,,,,,,,,,,,,
46,2020-03-08,1.0,8.0,33.0,9.0,2.0,12.0,,,,1.0,1.0,,,1.0,9.0,3.0,,,5.0,1.0,1.0,,3.0,,,,1.0,1.0,,1.0,,2.0,1.0,4.0,20.0,60.0,34.0,6.0,,4.0,,2.0,2.0,2.0,1.0,68.0,1.0,,,,,,,,,,,,,,,,,,
203,2020-03-09,1.0,8.0,44.0,11.0,2.0,12.0,,,,1.0,1.0,,,1.0,11.0,3.0,,,5.0,1.0,1.0,,3.0,100.0,,,1.0,1.0,,1.0,,2.0,1.0,5.0,20.0,60.0,34.0,6.0,,4.0,,2.0,2.0,2.0,1.0,79.0,1.0,,,,,,,,,,,,,,,,,,
180,2020-03-12,1.0,15.0,81.0,35.0,8.0,14.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,12.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,118.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,12.0,25.0,79.0,43.0,11.0,0.0,7.0,0.0,2.0,3.0,2.0,2.0,104.0,2.0,,,,,,,,,,,,,,,,,,
66,2020-03-13,1.0,17.0,90.0,43.0,8.0,14.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,12.0,3.0,0.0,0.0,6.0,1.0,1.0,0.0,3.0,128.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,18.0,27.0,81.0,43.0,14.0,0.0,7.0,0.0,2.0,3.0,2.0,3.0,111.0,7.0,,,,,,,,,,,,,,,,,,
173,2020-03-16,2.0,17.0,107.0,62.0,8.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,12.0,3.0,1.0,1.0,6.0,1.0,1.0,0.0,3.0,148.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,5.0,28.0,31.0,96.0,54.0,14.0,0.0,7.0,0.0,2.0,4.0,2.0,3.0,121.0,8.0,,,,,,,,,,,,,,,,,,
75,2020-03-17,3.0,17.0,109.0,81.0,8.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,2.0,12.0,3.0,1.0,1.0,6.0,1.0,1.0,0.0,3.0,152.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,6.0,28.0,31.0,96.0,54.0,14.0,0.0,7.0,0.0,2.0,4.0,2.0,3.0,123.0,8.0,,,,,,,,,,,,,,,,,,
223,2020-03-18,4.0,19.0,112.0,85.0,8.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,12.0,4.0,1.0,1.0,6.0,1.0,3.0,0.0,3.0,152.0,0.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,10.0,33.0,31.0,108.0,55.0,20.0,0.0,7.0,0.0,2.0,4.0,2.0,3.0,125.0,8.0,,,,,,,,,,,,,,,,,,
60,2020-03-19,4.0,20.0,117.0,90.0,8.0,15.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,12.0,4.0,1.0,,6.0,1.0,3.0,0.0,3.0,154.0,,0.0,1.0,2.0,0.0,2.0,2.0,3.0,10.0,34.0,33.0,117.0,59.0,21.0,0.0,7.0,1.0,2.0,,3.0,3.0,130.0,8.0,,,1.0,,0.0,4.0,,,,,,,,,,,,
12,2020-03-23,4.0,23.0,131.0,110.0,9.0,17.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0,3.0,12.0,5.0,1.0,1.0,7.0,17.0,3.0,0.0,3.0,162.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,4.0,11.0,50.0,44.0,144.0,74.0,26.0,0.0,8.0,1.0,2.0,4.0,5.0,3.0,143.0,9.0,,,,,,,,,,,,,,,,,,
