,date,滋賀県,京都府,大阪府,兵庫県,奈良県,和歌山県,鳥取県,島根県,岡山県,広島県,山口県,徳島県,香川県,愛媛県,高知県,福岡県,佐賀県,長崎県,熊本県,大分県,宮崎県,鹿児島県,沖縄県,北海道,青森県,岩手県,宮城県,秋田県,山形県,福島県,茨城県,栃木県,群馬県,埼玉県,千葉県,東京都,神奈川県,新潟県,富山県,石川県,福井県,山梨県,長野県,岐阜県,静岡県,愛知県,三重県
194,2020-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2020-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2020-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,2020-03-12,88.0,440.0,,443.0,102.0,982.0,82.0,64.0,125.0,290.0,113.0,62.0,88.0,149.0,157.0,492.0,47.0,133.0,,137.0,78.0,,190.0,1069.0,58.0,20.0,94.0,40.0,96.0,93.0,302.0,170.0,81.0,264.0,559.0,922.0,,,44.0,134.0,71.0,236.0,231.0,201.0,,274.0,155.0
70,2020-03-13,91.0,544.0,,540.0,113.0,996.0,86.0,76.0,141.0,376.0,122.0,67.0,91.0,153.0,221.0,509.0,50.0,140.0,,138.0,97.0,,196.0,1250.0,66.0,22.0,100.0,92.0,103.0,100.0,342.0,193.0,103.0,440.0,596.0,,,,47.0,144.0,73.0,251.0,245.0,205.0,,1009.0,181.0
178,2020-03-16,99.0,628.0,,581.0,131.0,1008.0,93.0,80.0,,423.0,128.0,70.0,98.0,161.0,229.0,522.0,52.0,150.0,,148.0,113.0,,198.0,1322.0,70.0,22.0,109.0,94.0,110.0,107.0,389.0,201.0,115.0,,817.0,,,,49.0,146.0,74.0,267.0,255.0,227.0,,1103.0,198.0
79,2020-03-17,107.0,741.0,,874.0,143.0,1040.0,95.0,82.0,160.0,463.0,138.0,73.0,102.0,166.0,246.0,578.0,82.0,173.0,393.0,153.0,114.0,,210.0,1462.0,72.0,24.0,129.0,103.0,112.0,116.0,419.0,221.0,234.0,584.0,979.0,1524.0,,,48.0,156.0,79.0,294.0,280.0,249.0,,847.0,257.0
232,2020-03-18,124.0,743.0,,951.0,153.0,1076.0,104.0,84.0,166.0,502.0,149.0,115.0,109.0,167.0,256.0,583.0,85.0,179.0,,155.0,129.0,,217.0,1515.0,74.0,24.0,129.0,108.0,120.0,117.0,436.0,227.0,244.0,614.0,1004.0,,,,51.0,162.0,84.0,315.0,284.0,322.0,,,277.0
64,2020-03-19,140.0,770.0,,1020.0,163.0,1090.0,110.0,86.0,175.0,521.0,157.0,79.0,122.0,181.0,267.0,610.0,91.0,200.0,,163.0,143.0,,230.0,1587.0,75.0,24.0,138.0,109.0,123.0,127.0,454.0,242.0,161.0,646.0,,1743.0,,,54.0,165.0,92.0,325.0,295.0,270.0,,,277.0
12,2020-03-23,144.0,815.0,2047.0,1127.0,187.0,1118.0,115.0,95.0,181.0,609.0,170.0,83.0,147.0,181.0,279.0,642.0,103.0,213.0,490.0,175.0,189.0,171.0,238.0,1652.0,90.0,29.0,150.0,114.0,133.0,132.0,464.0,263.0,174.0,684.0,,1848.0,,648.0,55.0,179.0,98.0,338.0,306.0,281.0,,,318.0
252,2020-03-26,176.0,967.0,250.0,1855.0,225.0,1374.0,134.0,106.0,233.0,687.0,196.0,99.0,168.0,219.0,313.0,747.0,121.0,266.0,567.0,1171.0,222.0,208.0,271.0,1821.0,102.0,41.0,175.0,204.0,156.0,167.0,656.0,320.0,231.0,901.0,100.0,2087.0,,845.0,69.0,193.0,116.0,383.0,339.0,325.0,611.0,1987.0,380.0
8,2020-03-27,138.0,996.0,362.0,2031.0,231.0,1405.0,141.0,109.0,243.0,722.0,210.0,104.0,191.0,223.0,314.0,777.0,124.0,279.0,595.0,1389.0,235.0,215.0,285.0,1929.0,116.0,44.0,180.0,207.0,165.0,177.0,716.0,343.0,241.0,1033.0,108.0,2182.0,218.0,920.0,69.0,195.0,119.0,401.0,371.0,374.0,645.0,2204.0,387.0
3,2020-03-30,197.0,1035.0,553.0,2146.0,263.0,1433.0,146.0,128.0,251.0,831.0,291.0,110.0,212.0,234.0,353.0,853.0,130.0,292.0,693.0,1489.0,242.0,219.0,303.0,1976.0,132.0,50.0,188.0,211.0,170.0,182.0,770.0,377.0,243.0,1105.0,237.0,2269.0,276.0,977.0,72.0,212.0,154.0,428.0,397.0,428.0,665.0,2276.0,408.0
254,2020-03-31,217.0,1080.0,630.0,2399.0,292.0,1452.0,169.0,130.0,309.0,901.0,257.0,123.0,243.0,250.0,359.0,1033.0,137.0,331.0,856.0,1626.0,272.0,263.0,332.0,2076.0,132.0,54.0,208.0,240.0,198.0,203.0,921.0,439.0,253.0,1249.0,362.0,2986.0,476.0,1024.0,79.0,211.0,160.0,454.0,475.0,629.0,701.0,2460.0,437.0
95,2020-04-01,232.0,1178.0,,2462.0,314.0,1479.0,182.0,136.0,321.0,960.0,287.0,144.0,,267.0,389.0,1069.0,150.0,351.0,925.0,1647.0,284.0,265.0,356.0,2096.0,137.0,59.0,,261.0,222.0,204.0,1028.0,456.0,289.0,1293.0,527.0,3027.0,614.0,1061.0,90.0,228.0,179.0,472.0,506.0,717.0,745.0,2854.0,458.0
116,2020-04-02,232.0,1178.0,,2462.0,314.0,1479.0,182.0,136.0,321.0,960.0,287.0,144.0,,267.0,389.0,1069.0,150.0,351.0,925.0,1647.0,284.0,265.0,356.0,2096.0,137.0,59.0,,261.0,222.0,204.0,1028.0,456.0,289.0,1293.0,527.0,3027.0,614.0,1061.0,90.0,228.0,179.0,472.0,506.0,717.0,745.0,2854.0,458.0
