,Country,Infected,Deaths
0,中国,80151,2943
1,香港,100,2
2,マカオ,10,0
3,韓国,4812,28
4,台湾,41,1
5,シンガポール,108,0
6,ネパール,1,0
7,タイ,43,1
8,ベトナム,16,0
9,マレーシア,29,0
10,豪州,29,1
11,米国,91,2
12,カナダ,27,0
13,フランス,191,5
14,ドイツ,159,0
15,カンボジア,1,0
16,スリランカ,1,0
17,アラブ首長国連邦,21,0
18,フィンランド,6,0
19,フィリピン,3,1
20,インド,6,0
21,イタリア,2036,52
22,英国,40,0
23,ロシア,3,0
24,スウェーデン,15,0
25,スペイン,114,0
26,ベルギー,8,0
27,エジプト,2,0
28,イラン,1501,66
29,イスラエル,10,0
30,レバノン,13,0
31,クウェート,56,0
32,バーレーン,49,0
33,オマーン,6,0
34,アフガニスタン,1,0
35,イラク,21,0
36,アルジェリア,3,0
37,オーストリア,18,0
38,スイス,30,0
39,クロアチア,7,0
40,ブラジル,2,0
41,ジョージア,3,0
42,パキスタン,4,0
43,北マケドニア,1,0
44,ギリシア,7,0
45,ノルウェー,25,0
46,ルーマニア,3,0
47,デンマーク,4,0
48,エストニア,1,0
49,オランダ,18,0
50,サンマリノ,9,0
51,リトアニア,1,0
52,ナイジェリア,1,0
53,アイスランド,3,0
54,アゼルバイジャン,3,0
55,ベラルーシ,1,0
56,ニュージーランド,1,0
57,メキシコ,5,0
58,カタール,3,0
59,ルクセンブルク,1,0
60,モナコ,1,0
61,エクアドル,6,0
62,アイルランド,1,0
63,チェコ,3,0
64,アルメニア,1,0
65,ドミニカ共和国,1,0
66,インドネシア,2,0
67,アンドラ,1,0
68,ポルトガル,2,0
69,ラトビア,1,0
70,セネガル,1,0
