pref,Positive,Tested,Percent
北海道,1903,51131.0,3.72
青森県,35,2258.0,1.55
岩手県,23,3844.0,0.6
宮城県,337,9237.0,3.65
秋田県,51,1964.0,2.6
山形県,78,5019.0,1.55
福島県,218,17984.0,1.21
茨城県,621,11994.0,5.18
栃木県,375,26582.0,1.41
群馬県,602,18397.0,3.27
埼玉県,4370,129795.0,3.37
千葉県,3516,72369.0,4.86
東京都,23608,403693.0,5.85
神奈川県,6177,136304.0,4.53
新潟県,158,14340.0,1.1
富山県,408,11350.0,3.59
石川県,742,11383.0,6.52
福井県,244,9361.0,2.61
山梨県,180,10215.0,1.76
長野県,299,17768.0,1.68
岐阜県,596,20881.0,2.85
静岡県,512,30918.0,1.66
愛知県,4963,66654.0,7.45
三重県,466,11609.0,4.01
滋賀県,475,10875.0,4.37
京都府,1650,37666.0,4.38
大阪府,9860,165431.0,5.96
兵庫県,2521,51144.0,4.93
奈良県,551,18962.0,2.91
和歌山県,236,8962.0,2.63
鳥取県,35,4862.0,0.72
島根県,137,5270.0,2.6
岡山県,147,7861.0,1.87
広島県,474,19437.0,2.44
山口県,195,8645.0,2.26
徳島県,147,6707.0,2.19
香川県,92,9956.0,0.92
愛媛県,114,3966.0,2.87
高知県,137,3352.0,4.09
福岡県,4970,45452.0,10.93
佐賀県,244,5614.0,4.35
長崎県,236,16972.0,1.39
熊本県,570,15908.0,3.58
大分県,158,15145.0,1.04
宮崎県,344,8441.0,4.08
鹿児島県,376,17489.0,2.15
沖縄県,2310,34484.0,6.7
