,Positive,Tested,Percent,population,area,popDensity
滋賀県,955,34089.0,2.8,1412415,4017.38,351.58
京都府,3829,83002.0,4.61,2568427,4612.2,556.88
大阪府,27500,419310.0,6.56,8817372,1905.32,4627.76
兵庫県,8248,124566.0,6.62,5438891,8401.02,647.41
奈良県,1712,43905.0,3.9,1322970,3690.94,358.44
和歌山県,587,15857.0,3.7,914055,4724.65,193.47
鳥取県,70,21680.0,0.32,551402,3507.14,157.22
島根県,181,8556.0,2.12,666941,6707.89,99.43
岡山県,1124,27231.0,4.13,1882356,7114.33,264.59
広島県,2377,60968.0,3.9,2794862,8479.64,329.6
山口県,472,24734.0,1.91,1341506,6112.54,219.47
徳島県,192,14398.0,1.33,721269,4146.75,173.94
香川県,211,20806.0,1.01,948801,1876.78,505.55
愛媛県,379,10881.0,3.48,1326487,5676.23,233.69
高知県,549,5379.0,10.21,689785,7103.64,97.1
福岡県,7547,243185.0,3.1,5106774,4986.51,1024.12
佐賀県,417,13682.0,3.05,808821,2440.69,331.39
長崎県,419,35060.0,1.2,1310660,4130.98,317.28
熊本県,1468,30918.0,4.75,1735901,7409.46,234.28
大分県,580,38198.0,1.52,1124983,6340.76,177.42
宮崎県,669,11785.0,5.68,1063759,7735.34,137.52
鹿児島県,890,34915.0,2.55,1587342,9187.06,172.78
沖縄県,5010,84362.0,5.94,1458839,2282.59,639.12
北海道,12381,215175.0,5.75,5212462,78421.4,66.47
青森県,396,8697.0,4.55,1230535,9645.64,127.57
岩手県,341,13054.0,2.61,1212201,15275.01,79.36
宮城県,1801,23979.0,7.51,2292690,7282.29,314.83
秋田県,96,3955.0,2.43,952069,11637.52,81.81
山形県,330,9675.0,3.41,1064954,9323.15,114.23
福島県,758,50811.0,1.49,1830114,13783.9,132.77
茨城県,2168,18305.0,11.84,2854131,6097.39,468.09
栃木県,1073,66600.0,1.61,1932091,6408.09,301.51
群馬県,1973,49001.0,4.03,1926370,6362.28,302.78
埼玉県,11985,292587.0,4.1,7343453,3797.75,1933.63
千葉県,9324,207373.0,4.5,6281394,5157.6,1217.89
東京都,52382,915116.0,5.72,13971109,2194.07,6367.67
神奈川県,17387,321144.0,5.41,9214151,2416.32,3813.3
新潟県,448,26017.0,1.72,2199746,12584.27,174.8
富山県,503,20475.0,2.46,1034670,4247.58,243.59
石川県,974,27413.0,3.55,1130159,4186.2,269.97
福井県,337,17946.0,1.88,762679,4190.52,182.0
山梨県,488,14349.0,3.4,806210,4465.27,180.55
長野県,1053,42266.0,2.49,2034145,13561.56,149.99
岐阜県,1783,57821.0,3.08,1974142,10621.29,185.87
静岡県,2405,78638.0,3.06,3618972,7777.35,465.32
愛知県,14219,171494.0,8.29,7541123,5173.07,1457.77
三重県,1161,26913.0,4.31,1767615,5774.49,306.11
